序号,测试点,答案,难度系数(五颗星为最高值),备注
1,三原色认知,A: 红、黄、蓝,★★☆☆☆,单选题
2,色彩情感,A: 温暖、热情,★☆☆☆☆,单选题
3,国画工具,D: 兔毛,★★★☆☆,单选题
4,墨分五色,A: 焦、浓、重、淡、清,★★★★☆,单选题
5,春节剪纸,D: 福字,★★☆☆☆,单选题
6,民间艺术,B: 泥塑,★★★☆☆,单选题
7,轴对称图形,A: 正方形,★★☆☆☆,单选题
8,图案类型,B: 连续纹样,★★★☆☆,单选题
9,中国画技法,B: 写意画,★★★★☆,单选题
10,冷色认知,C: 蓝色,★★☆☆☆,单选题
11,文房四宝,D: 印,★★★☆☆,单选题
12,色彩关系,D: 互补色,★★★★☆,单选题
13,皮影材料,C: 兽皮,★★★☆☆,单选题
14,节日美术,B: 粽子,★★☆☆☆,单选题
15,明暗表现,C: 素描,★★★☆☆,单选题
16,画竹笔法,C: 写竹,★★★★☆,单选题
17,色彩情感,B: 蓝色,★★☆☆☆,单选题
18,建筑装饰,B: 鸱吻,★★★★☆,单选题
19,造型要素,C: 造型三要素,★★★☆☆,单选题
20,山石笔法,B: 皴法,★★★★☆,单选题
21,美术工具连线,D: 中国画工具,★★☆☆☆,连线题
22,绘画材料连线,A: 国画专用纸,★★☆☆☆,连线题
23,绘画工具连线,B: 绘画工具,★★☆☆☆,连线题
24,调色工具连线,C: 混合颜色,★★☆☆☆,连线题
25,色彩情感连线,H: 温暖,★★☆☆☆,连线题
26,色彩情感连线,E: 宁静,★★☆☆☆,连线题
27,色彩情感连线,G: 自然,★★☆☆☆,连线题
28,色彩情感连线,F: 活力,★★☆☆☆,连线题
29,水墨画技法,B: 写意画,★★★★☆,综合题1
30,海报功能,B: 传递信息,★★☆☆☆,综合题2
31,设计优先,B: 主题内容,★★★☆☆,综合题2
32,海报特点,A/B/C/D: 主题突出/色彩醒目/信息完整/富有创意,★★★★☆,综合题2
